Terminal log file
Date: 2016-06-13 - 09:10:35
-----------------------------------------------
MPL115A1_Pressure;BMP180_Pressure;BMP180_Temperature
973718;980240;24917
973666;980231;24916
973532;980233;24916
973477;980229;24913
973795;980231;24913
973559;980233;24904
973474;980205;24891
973576;980222;24890
973517;980231;24880
973179;980246;24855
973122;980235;24841
973336;980189;24817
973323;980206;24825
973465;980239;24822
973442;980267;24824
973559;980271;24825
973316;980290;24839
973695;980306;24839
973606;980327;24843
973705;980352;24847
973916;980360;24847
973864;980386;24848
973767;980392;24839
973891;980389;24830
974159;980384;24825
973452;980418;24826
973450;980389;24824
973474;980438;24839
973487;980397;24829
973335;980383;24825
973762;980390;24829
973522;980424;24830
973844;980433;24834
974338;980459;24842
973862;980443;24838
974097;980461;24843
973829;980471;24843
973571;980443;24837
973673;980468;24840
973919;980491;24837
974132;980473;24831
973591;980505;24835
973966;980507;24833
974259;980541;24835
974045;980545;24829
973988;980520;24823
974117;980532;24827
974105;980536;24829
973661;980560;24835
973991;980535;24829
974177;980526;24827
974147;980560;24824
973889;980547;24827
973916;980540;24827
974125;980563;24825
974420;980564;24822
973891;980580;24824
974115;980609;24824
974405;980620;24822
973904;980643;24823
974405;980641;24823
974358;980649;24827
974668;980639;24814
974569;980682;24819
973904;980683;24818
974494;980677;24821
974199;980649;24814
974216;980659;24810
974323;980627;24802
974373;980667;24802
974321;980673;24802
974400;980685;24804
974157;980675;24802
974266;980706;24804
974579;980749;24805
974743;980744;24804
974139;980763;24804
974276;980753;24804
974355;980740;24805
974003;980766;24803
974321;980800;24804
974472;980815;24809
974820;980816;24809
974499;980815;24810
974554;980836;24813
974534;980851;24814
974288;980849;24814
974564;980835;24814
974710;980841;24816
974532;980843;24816
974184;980831;24815
974584;980854;24816
974668;980868;24821
974671;980855;24819
974802;980845;24821
974343;980854;24821
974331;980857;24817
974641;980883;24824
974502;980909;24824
974666;980899;24823
974852;980926;24821
974534;980950;24829
974661;980958;24823
974576;980931;24821
974405;980996;24828
974817;980990;24819
974557;981019;24819
974663;981028;24818
974817;981034;24816
974527;981032;24817
974663;981034;24816
974611;981045;24822
974296;981030;24817
974792;981046;24819
974951;981035;24817
974688;981053;24824
974472;981040;24822
974710;981043;24823
974524;981046;24822
974393;981082;24826
974554;981079;24823
974395;981061;24822
974849;981090;24825
974713;981098;24823
974609;981129;24825
974477;981124;24815
974790;981159;24821
974738;981160;24821
974976;981156;24820
974661;981171;24820
974375;981154;24821
974628;981168;24826
974710;981164;24825
974452;981159;24824
974790;981185;24827
974713;981198;24816
974819;981181;24798
975030;981187;24794
974311;981205;24798
974815;981222;24807
974455;981221;24803
974631;981252;24805
974311;981214;24798
974710;981269;24804
974738;981252;24797
974760;981264;24797
974663;981289;24800
974472;981285;24798
974708;981303;24800
974581;981284;24796
974653;981319;24799
974681;981332;24799
974549;981332;24798
974976;981372;24804
974894;981401;24798
974705;981392;24800
974631;981408;24802
974502;981364;24803
974470;981336;24802
975085;981367;24807
974797;981380;24807
974579;981404;24807
974740;981374;24800
974601;981416;24803
975031;981456;24807
974815;981482;24800
975016;981478;24806
974872;981477;24800
974901;981502;24804
974524;981514;24801
974527;981517;24798
974735;981507;24789
974842;981484;24782
974636;981496;24785
974656;981510;24789
974763;981531;24795
974740;981526;24795
974869;981538;24799
974924;981541;24801
974606;981539;24800
975031;981542;24800
974842;981544;24799
975026;981556;24799
975187;981567;24798
974661;981595;24801
974738;981591;24800
974740;981612;24802
974817;981627;24802
974847;981629;24802
974685;981649;24804
974867;981676;24804
974869;981665;24807
975140;981673;24804
975199;981676;24803
975055;981669;24800
974604;981692;24802
974874;981703;24804
974633;981701;24805
975137;981702;24801
974872;981728;24803
975430;981724;24799
975199;981725;24798
975460;981711;24798
975008;981717;24802
975192;981721;24802
974824;981706;24803
974827;981694;24803

-----------------------------------------------
Date: 2016-06-13 - 09:17:24
End log file
